,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,POINTS,TOP 10,1ST,Year,MONEY,COUNTRY
52,David Branshaw,83,72.223,289.2,65.74,64.73,-.382,-.662,-1.044,324,1,,2007,"$323,407",USA
53,David Toms,80,69.883,282.5,64.85,63.78,.278,.612,.890,"8,859",7,,2007,"$2,095,837",USA
54,Davis Love III,66,70.984,296.8,58.58,64.02,-.290,.337,.048,"4,317",3,,2007,"$1,016,489",USA
55,Dean Wilson,92,70.557,277.2,64.00,63.35,.619,-.175,.444,"4,789",4,,2007,"$1,258,507",USA
56,Dicky Pride,71,71.465,281.4,62.65,63.60,.307,-.630,-.322,907,1,,2007,"$415,792",USA
57,Doug LaBelle II,104,71.332,276.6,72.78,64.33,-.018,-.320,-.338,"2,734",1,,2007,"$604,633",USA
58,Duffy Waldorf,69,71.648,287.5,64.88,66.99,-.219,-.032,-.250,"1,313",,,2007,"$359,018",USA
59,Eric Axley,107,71.970,287.8,55.88,61.32,.059,-.784,-.726,"1,740",,,2007,"$440,911",USA
60,Ernie Els,59,69.294,297.9,56.99,64.66,-.031,1.609,1.578,"12,112",5,,2007,"$2,705,715",RSA
61,Frank Lickliter II,95,71.137,284.2,65.64,65.15,.227,-.139,.088,"2,350",,,2007,"$584,084",USA
62,Fred Funk,65,70.550,271.8,75.26,61.75,.265,-.053,.211,"4,626",2,1,2007,"$1,239,376",USA
63,Freddie Jacobson,70,70.259,284.7,63.62,66.19,.660,.353,1.012,"4,540",5,,2007,"$1,469,541",SWE
64,Gavin Coles,87,71.245,268.3,70.27,62.58,.340,-.626,-.286,"2,174",2,,2007,"$511,353",AUS
65,Geoff Ogilvy,84,70.085,295.3,59.02,62.75,.072,.749,.821,"13,390",7,,2007,"$2,943,203",AUS
66,George McNeill,95,70.991,298.2,59.84,63.43,.487,-.213,.274,"3,524",2,1,2007,"$1,504,627",USA
67,Glen Day,85,71.172,280.7,70.42,64.33,.063,-.238,-.175,"1,672",,,2007,"$397,491",USA
68,Greg Owen,81,72.086,296.5,64.08,68.14,-.848,-.066,-.915,"1,321",1,,2007,"$426,601",ENG
